Database,Table,Column,Datatype,Missing,Distinct
activity_1,Activity,actid,int64,0,16
activity_1,Activity,activity_name,object,0,16
activity_1,Participates_in,stuid,int64,0,30
activity_1,Participates_in,actid,int64,0,13
activity_1,Faculty_Participates_in,FacID,int64,0,18
activity_1,Faculty_Participates_in,actid,int64,0,13
activity_1,Student,StuID,int64,0,34
activity_1,Student,LName,object,0,31
activity_1,Student,Fname,object,0,24
activity_1,Student,Age,int64,0,9
activity_1,Student,Sex,object,0,2
activity_1,Student,Major,int64,0,6
activity_1,Student,Advisor,int64,0,18
activity_1,Student,city_code,object,0,19
activity_1,Faculty,FacID,int64,0,58
activity_1,Faculty,Lname,object,0,58
activity_1,Faculty,Fname,object,0,53
activity_1,Faculty,Rank,object,0,4
activity_1,Faculty,Sex,object,0,2
activity_1,Faculty,Phone,int64,0,58
activity_1,Faculty,Room,object,0,18
activity_1,Faculty,Building,object,0,3
aircraft,pilot,Pilot_Id,int64,0,12
aircraft,pilot,Name,object,0,12
aircraft,pilot,Age,int64,0,9
aircraft,aircraft,Aircraft_ID,int64,0,5
aircraft,aircraft,Aircraft,object,0,5
aircraft,aircraft,Description,object,0,4
aircraft,aircraft,Max_Gross_Weight,object,0,5
aircraft,aircraft,Total_disk_area,object,0,5
aircraft,aircraft,Max_disk_Loading,object,0,5
aircraft,match,Round,float64,0,7
aircraft,match,Location,object,0,7
aircraft,match,Country,object,0,7
aircraft,match,Date,object,0,7
aircraft,match,Fastest_Qualifying,object,0,4
aircraft,match,Winning_Pilot,object,0,5
aircraft,match,Winning_Aircraft,object,0,5
aircraft,airport,Airport_ID,int64,0,10
aircraft,airport,Airport_Name,object,0,10
aircraft,airport,Total_Passengers,float64,0,10
aircraft,airport,%_Change_2007,object,0,10
aircraft,airport,International_Passengers,float64,0,10
aircraft,airport,Domestic_Passengers,float64,0,10
aircraft,airport,Transit_Passengers,float64,0,10
aircraft,airport,Aircraft_Movements,float64,0,10
aircraft,airport,Freight_Metric_Tonnes,float64,0,10
aircraft,airport_aircraft,ID,int64,0,4
aircraft,airport_aircraft,Airport_ID,int64,0,4
aircraft,airport_aircraft,Aircraft_ID,int64,0,4
allergy_1,Allergy_Type,Allergy,object,0,14
allergy_1,Allergy_Type,AllergyType,object,0,3
allergy_1,Has_Allergy,StuID,int64,0,30
allergy_1,Has_Allergy,Allergy,object,0,12
allergy_1,Student,StuID,int64,0,34
allergy_1,Student,LName,object,0,31
allergy_1,Student,Fname,object,0,24
allergy_1,Student,Age,int64,0,9
allergy_1,Student,Sex,object,0,2
allergy_1,Student,Major,int64,0,6
allergy_1,Student,Advisor,int64,0,18
allergy_1,Student,city_code,object,0,19
apartment_rentals,Apartment_Buildings,building_id,int64,0,15
apartment_rentals,Apartment_Buildings,building_short_name,object,0,15
