label,run_dir,learning_rate,rank,alpha,dropout,target_modules,epochs,scheduler,warmup_ratio,weight_decay,seed,train_batch_size,gradient_accumulation_steps,train_examples,validation_examples,global_step,train_loss,eval_loss,train_runtime_seconds,peak_allocated_gib,adapter_bytes,adapter_dir,evaluation_metrics,strict_execution_pct,compatible_execution_pct,compatible_metrics,syntax_valid_pct,normalized_exact_match_pct,mean_generation_ms
cap-r16-a32-d0-all,artifacts/qlora-hparam/runs/20260726-171711-cap-r16-a32-d0-all-29223,0.0003,16,32,0.0,all-linear,1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.2388935787603259,,2496.3453,16.915,148080839,artifacts/qlora-hparam/runs/20260726-171711-cap-r16-a32-d0-all-29223/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-180839-61718/downloaded/results/q3hp-cap-r16-a32-d0-all/metrics.json,85.814,88.611,artifacts/qlora-hparam/macsql/cap-r16-a32-d0-all/metrics.json,100.0,49.151,965.566
cap-r16-a32-d05-attn,artifacts/qlora-hparam/runs/20260726-182928-cap-r16-a32-d05-attn-75496,0.0003,16,32,0.05,"['q_proj', 'k_proj', 'v_proj', 'o_proj']",1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.2717701820656657,,2025.7566,16.77,63117527,artifacts/qlora-hparam/runs/20260726-182928-cap-r16-a32-d05-attn-75496/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-190546-98544/downloaded/results/q3hp-cap-r16-a32-d05-attn/metrics.json,85.514,88.312,artifacts/qlora-hparam/macsql/cap-r16-a32-d05-attn/metrics.json,100.0,46.953,824.721
cap-r16-a32-d10-all,artifacts/qlora-hparam/runs/20260726-171711-cap-r16-a32-d10-all-29224,0.0003,16,32,0.1,all-linear,1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.23904219456017017,,2638.7194,16.915,148080839,artifacts/qlora-hparam/runs/20260726-171711-cap-r16-a32-d10-all-29224/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-180405-58681/downloaded/results/q3hp-cap-r16-a32-d10-all/metrics.json,86.014,89.111,artifacts/qlora-hparam/macsql/cap-r16-a32-d10-all/metrics.json,100.0,48.352,1007.523
cap-r32-a64-d05-all,artifacts/qlora-hparam/runs/20260726-160312-cap-r32-a64-d05-all-81070,0.0003,32,64,0.05,all-linear,1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.22719995584338903,,2628.2299,17.204,280201848,artifacts/qlora-hparam/runs/20260726-160312-cap-r32-a64-d05-all-81070/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-165119-11832/downloaded/results/q3hp-cap-r32-a64-d05-all/metrics.json,85.514,88.312,artifacts/qlora-hparam/macsql/cap-r32-a64-d05-all/metrics.json,100.0,47.952,1008.406
cap-r8-a16-d05-all,artifacts/qlora-hparam/runs/20260726-160158-cap-r8-a16-d05-all-80206,0.0003,8,16,0.05,all-linear,1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.25791644118726254,,2642.6843,16.796,82019719,artifacts/qlora-hparam/runs/20260726-160158-cap-r8-a16-d05-all-80206/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-164910-10367/downloaded/results/q3hp-cap-r8-a16-d05-all/metrics.json,86.114,88.811,artifacts/qlora-hparam/macsql/cap-r8-a16-d05-all/metrics.json,100.0,48.452,1026.412
lr1e4,artifacts/qlora-hparam/runs/20260726-130021-lr1e4-59805,0.0001,16,32,0.05,all-linear,1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.2871600342914462,,2598.1802,16.915,148080840,artifacts/qlora-hparam/runs/20260726-130021-lr1e4-59805/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-134651-90252/downloaded/results/q3hp-lr1e4/metrics.json,84.815,87.413,artifacts/qlora-hparam/macsql/lr1e4/metrics.json,100.0,46.054,1052.058
lr2e4,artifacts/qlora-hparam/runs/20260726-130439-lr2e4-62675,0.0002,16,32,0.05,all-linear,1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.2502826191484928,,2625.1635,16.915,148080840,artifacts/qlora-hparam/runs/20260726-130439-lr2e4-62675/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-135136-94225/downloaded/results/q3hp-lr2e4/metrics.json,86.214,89.211,artifacts/qlora-hparam/macsql/lr2e4/metrics.json,100.0,49.051,1008.106
lr3e4,artifacts/qlora-hparam/runs/20260726-120811-lr3e4-25878,0.0003,16,32,0.05,all-linear,1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.23990157805383205,0.21500006318092346,2884.7592,16.915,148080840,artifacts/qlora-hparam/runs/20260726-120811-lr3e4-25878/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-140757-6902/downloaded/results/q3hp-lr3e4/metrics.json,86.513,89.111,artifacts/qlora-hparam/macsql/lr3e4/metrics.json,100.0,49.051,990.308
lr5e5,artifacts/qlora-hparam/runs/20260726-120357-lr5e5-23015,5e-05,16,32,0.05,all-linear,1.0,cosine,0.03,0.0,17,2,8,2048,1001,128,0.34790994599461555,0.2268352061510086,2891.8901,16.915,148080840,artifacts/qlora-hparam/runs/20260726-120357-lr5e5-23015/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-141200-9776/downloaded/results/q3hp-lr5e5/metrics.json,83.117,86.414,artifacts/qlora-hparam/macsql/lr5e5/metrics.json,100.0,42.358,1088.486
opt-cosine-w10-e1,artifacts/qlora-hparam/runs/20260726-192240-opt-cosine-w10-e1-9987,0.0003,16,32,0.05,all-linear,1.0,cosine,0.1,0.0,17,2,8,2048,1001,128,0.2739676171913743,,2588.9084,16.915,148080840,artifacts/qlora-hparam/runs/20260726-192240-opt-cosine-w10-e1-9987/downloaded/output/final_adapter,artifacts/zero-shot-eval/runs/20260726-200944-40010/downloaded/results/q3hp-opt-cosine-w10-e1/metrics.json,84.815,87.712,artifacts/qlora-hparam/macsql/opt-cosine-w10-e1/metrics.json,100.0,47.852,1040.925
